Title,Price in Pounds,Category
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,Music
Kierkegaard: A Christian Missionary to Christians,47.13,Philosophy
John Vassos: Industrial Design for Modern Life,20.22,Default
I'll Give You the Sun,56.48,Default
I Will Find You,44.21,Nonfiction
Hystopia: A Novel,21.96,Fiction
Howl and Other Poems,40.45,Poetry
History of Beauty,10.29,Art
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,Default
Future Shock (Future Shock #1),55.65,Young Adult
Ender's Game (The Ender Quintet #1),43.64,Default
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,Science
Death by Leisure: A Cautionary Tale,37.51,Default
Brilliant Beacons: A History of the American Lighthouse,11.45,History
Brazen: The Courage to Find the You That's Been Hiding,19.22,Nonfiction
Between the World and Me,56.91,Nonfiction
Being Mortal: Medicine and What Matters in the End,55.06,Nonfiction
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,Nonfiction
32 Yolks,53.63,Food and Drink
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,History
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,Self Help
Wildlife of New York: A Five-Borough Coloring Book,22.14,Default
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Mystery
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33,Spirituality
Under the Tuscan Sun,37.33,Travel
Toddlers Are A**holes: It's Not Your Fault,25.55,Humor
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,34.72,Default
The Whale,35.96,Childrens
The Story of Art,41.14,Art
The Origin of Species,10.01,Science
The Great Gatsby,36.05,Default
The Good Girl,49.03,Default
The Glass Castle,16.24,Add a comment
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,39.55,Biography
The Drowning Girls,35.67,Add a comment
The Constant Princess (The Tudor Court #1),16.62,Historical Fiction
The Bourne Identity (Jason Bourne #1),42.78,Fiction
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Mystery
The Art Book,32.34,Art
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,Default
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,Add a comment
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.9,Default
"Sit, Stay, Love",20.9,Romance
Sister Dear,40.2,Fiction
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,Childrens
"Rich Dad, Poor Dad",51.74,Business
Raymie Nightingale,34.41,Childrens
Playing from the Heart,32.38,Childrens
Nightstruck: A Novel,50.35,Young Adult
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,Food and Drink
Meternity,43.58,Womens Fiction
Memoirs of a Geisha,49.67,Fiction
Like Never Before (Walker Family #2),28.77,Christian Fiction
Life of Pi,13.22,Default
Leave This Song Behind: Teen Poetry at Its Best,51.17,Poetry
King's Folly (The Kinsman Chronicles #1),39.61,Fantasy
John Adams,57.43,Add a comment
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,Food and Drink
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,Food and Drink
Good in Bed (Cannie Shapiro #1),37.05,Add a comment
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,Sequential Art
For the Love: Fighting for Grace in a World of Impossible Standards,45.13,Nonfiction
Finding God in the Ruins: How God Redeems Pain,46.64,Nonfiction
Every Heart a Doorway (Every Heart A Doorway #1),12.16,Fantasy
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Mystery
Counted With the Stars (Out from Egypt #1),17.97,Christian Fiction
"Chronicles, Vol. 1",52.6,Music
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77,Christian
Benjamin Franklin: An American Life,48.19,Biography
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,Philosophy
A Summer In Europe,44.34,Travel
A Short History of Nearly Everything,52.4,History
A Gathering of Shadows (Shades of Magic #2),44.81,Fantasy
The Sound Of Love,57.84,Default
The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,History
The Perks of Being a Wallflower,55.02,Default
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Mystery
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,Nonfiction
The Makings of a Fatherless Child,31.58,Default
The Joy of Cooking,43.27,Add a comment
The Invention of Wings,37.34,Historical Fiction
The Hobbit (Middle-Earth Universe),17.8,Default
The Great Railway Bazaar,30.54,Travel
The Golden Compass (His Dark Materials #1),18.77,Add a comment
The God Delusion,46.85,Add a comment
The Girl You Left Behind (The Girl You Left Behind #1),15.79,Historical
The Fellowship of the Ring (The Lord of the Rings #1),10.27,Default
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,Poetry
The Barefoot Contessa Cookbook,59.92,Food and Drink
Tell the Wolves I'm Home,50.96,Young Adult
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,30.6,Default
Pride and Prejudice,19.27,Add a comment
Musicophilia: Tales of Music and the Brain,46.58,Default
Mere Christianity,48.51,Add a comment
Me Before You (Me Before You #1),19.02,Fiction
In the Woods (Dublin Murder Squad #1),38.38,Mystery
In Cold Blood,49.98,Nonfiction
How to Stop Worrying and Start Living,46.49,Self Help
Give It Back,18.32,Thriller
"Girl, Interrupted",42.14,Nonfiction
Fun Home: A Family Tragicomic,56.59,Add a comment
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,Sequential Art
Deception Point,40.32,Fiction
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,Sequential Art
Catherine the Great: Portrait of a Woman,58.55,History
Better Homes and Gardens New Cook Book,39.61,Food and Drink
An Unquiet Mind: A Memoir of Moods and Madness,21.3,Psychology
A Year in Provence (Provence #1),56.88,Travel
World Without End (The Pillars of the Earth #2),32.97,Historical Fiction
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",47.31,Young Adult
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,Nonfiction
Where She Went (If I Stay #2),41.73,Young Adult
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,53.68,Default
Two Summers,14.64,Young Adult
This Is Your Brain on Music: The Science of a Human Obsession,38.4,Music
The Secret Garden,15.08,Classics
The Raven King (The Raven Cycle #4),30.57,Add a comment
The Raven Boys (The Raven Cycle #1),57.74,Fantasy
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,Food and Drink
The Metamorphosis,28.58,Classics
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,History
The Little Paris Bookshop,24.73,Fiction
The Hiding Place,55.91,History
The Grand Design,13.76,Science
The Firm,45.56,Fiction
The Fault in Our Stars,47.22,Default
The False Prince (The Ascendance Trilogy #1),56,Fantasy
The Expatriates,44.58,Fiction
The Dream Thieves (The Raven Cycle #2),34.5,Default
The Darkest Corners,11.33,Young Adult
The Crossover,38.77,Poetry
The 5th Wave (The 5th Wave #1),11.83,Default
Tell the Wind and Fire,45.51,Fantasy
Tell Me Three Things,41.81,Young Adult
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,Nonfiction
Siddhartha,34.22,Fiction
Shiver (The Wolves of Mercy Falls #1),16.23,Default
Remember Me?,11.48,Default
Red Dragon (Hannibal Lecter #1),23.37,Horror
Peak: Secrets from the New Science of Expertise,16.28,Science
My Mother Was Nuts,31.63,Nonfiction
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,Food and Drink
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,Childrens
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,Young Adult
Logan Kade (Fallen Crest High #5.5),13.12,Academic
Last One Home (New Beginnings #1),59.98,Fiction
Killing Floor (Jack Reacher #1),31.49,Thriller
Kill the Boy Band,15.52,Young Adult
Isla and the Happily Ever After (Anna and the French Kiss #3),48.13,Young Adult
If I Stay (If I Stay #1),38.13,Default
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),36.55,Default
Harry Potter and the Deathly Hallows (Harry Potter #7),23.32,Default
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,Sequential Art
Foundation (Foundation (Publication Order) #1),32.42,Science Fiction
Fool Me Once,16.96,Default
Find Her (Detective D.D. Warren #8),22.37,Add a comment
Evicted: Poverty and Profit in the American City,42.27,Add a comment
Drama,38.7,Default
Dracula the Un-Dead,35.63,Horror
Digital Fortress,58,Fiction
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,Sequential Art
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,Nonfiction
Critique of Pure Reason,20.75,Philosophy
Booked,17.49,Poetry
"Blue Lily, Lily Blue (The Raven Cycle #3)",34.13,Default
Approval Junkie: Adventures in Caring Too Much,58.81,Autobiography
An Abundance of Katherines,10,Young Adult
America's War for the Greater Middle East: A Military History,51.22,History
Alight (The Generations Trilogy #2),58.59,Default
A Girl's Guide to Moving On (New Beginnings #2),31.3,Romance
A Game of Thrones (A Song of Ice and Fire #1),46.42,Add a comment
A Feast for Crows (A Song of Ice and Fire #4),17.21,Fantasy
A Clash of Kings (A Song of Ice and Fire #2),10.79,Add a comment
Vogue Colors A to Z: A Fashion Coloring Book,52.35,Default
The Shining (The Shining #1),27.88,Default
The Pilgrim's Progress,50.26,Classics
The Perfect Play (Play by Play #1),59.99,Romance
The Passion of Dolssa,28.32,Historical Fiction
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,Nonfiction
The Hunger Games (The Hunger Games #1),29.85,Default
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,Classics
The Gunning of America: Business and the Making of American Gun Culture,16.81,Nonfiction
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,Nonfiction
The Demonists (Demonist #1),52.11,Fantasy
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,Sequential Art
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,Thriller
The Beast (Black Dagger Brotherhood #14),46.08,Fantasy
Some Women,13.73,Womens Fiction
Shopaholic Ties the Knot (Shopaholic #3),48.39,Womens Fiction
Paper and Fire (The Great Library #2),49.45,Fantasy
Outlander (Outlander #1),19.67,Default
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,Music
No One Here Gets Out Alive,20.02,Music
Night Shift (Night Shift #1-20),12.75,Horror
Needful Things,47.51,Horror
Mockingjay (The Hunger Games #3),20.44,Default
Misery,34.79,Horror
Little Women (Little Women #1),28.07,Classics
It,25.01,Horror
Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9,Default
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,Young Adult
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,Fantasy
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,Fantasy
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,Fantasy
Gone with the Wind,32.49,Classics
God Is Not Great: How Religion Poisons Everything,27.8,Nonfiction
Girl With a Pearl Earring,26.77,Historical Fiction
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,Sequential Art
Far From True (Promise Falls Trilogy #2),34.93,Thriller
Dark Lover (Black Dagger Brotherhood #1),12.87,Romance
Confessions of a Shopaholic (Shopaholic #1),48.94,Default
Changing the Game (Play by Play #2),13.38,Romance
Candide,58.63,Classics
Can You Keep a Secret?,21.94,Womens Fiction
Atlas Shrugged,26.58,Fiction
Animal Farm,57.22,Classics
A Walk to Remember,56.43,Romance
A New Earth: Awakening to Your Life's Purpose,55.65,Spirituality
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,Religion
'Salem's Lot,49.56,Horror
Zero History (Blue Ant #3),34.77,Default
Wuthering Heights,17.73,Classics
World War Z: An Oral History of the Zombie War,21.8,Default
Wild: From Lost to Found on the Pacific Crest Trail,46.02,Default
"Where'd You Go, Bernadette",18.13,Default
When You Are Engulfed in Flames,30.89,Humor
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,Nonfiction
We Are All Completely Beside Ourselves,24.04,Contemporary
Walk the Edge (Thunder Road #2),32.36,Young Adult
Voyager (Outlander #3),21.07,Historical Fiction
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,Nonfiction
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,Food and Drink
"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,Nonfiction
Under the Banner of Heaven: A Story of Violent Faith,30,Nonfiction
Two Boys Kissing,32.74,Young Adult
Twilight (Twilight #1),41.93,Default
Twenties Girl,42.8,Womens Fiction
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,Nonfiction
Three-Martini Lunch,23.21,Fiction
"Thinking, Fast and Slow",21.14,Psychology
The Wild Robot,56.07,Childrens
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,Sequential Art
The Undomestic Goddess,45.75,Womens Fiction
The Travelers,15.77,Thriller
The Tipping Point: How Little Things Can Make a Big Difference,10.02,Add a comment
The Thing About Jellyfish,48.77,Childrens
The Stand,57.86,Horror
The Smitten Kitchen Cookbook,23.59,Food and Drink
The Silkworm (Cormoran Strike #2),23.05,Mystery
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,Sequential Art
The Rose & the Dagger (The Wrath and the Dawn #2),58.64,Fantasy
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,Travel
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),42.57,Biography
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,Science Fiction
The Rest Is Noise: Listening to the Twentieth Century,34.77,Add a comment
The Red Tent,35.66,Historical Fiction
The Purpose Driven Life: What on Earth Am I Here for?,37.19,Add a comment
The Purest Hook (Second Circle Tattoos #3),12.25,Romance
The Picture of Dorian Gray,29.7,Classics
The Paris Wife,36.8,Default
The Obsession,45.43,Romance
The Nightingale,26.26,Fiction
The New Guy (and Other Senior Year Distractions),44.92,Young Adult
The Nanny Diaries (Nanny #1),52.53,Womens Fiction
The Name of God is Mercy,37.25,Nonfiction
The Maze Runner (The Maze Runner #1),20.93,Default
The Lover's Dictionary,58.09,Default
The Lonely Ones,43.59,Childrens
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,Business
The Last Painting of Sara de Vos,55.55,Historical Fiction
"The Land of 10,000 Madonnas",29.64,Young Adult
The Infinities,27.41,Fiction
The Husband's Secret,52.51,Fiction
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),47.8,Add a comment
The Guns of August,14.54,History
The Guernsey Literary and Potato Peel Pie Society,49.53,Historical Fiction
The Goldfinch,43.58,Default
The Giver (The Giver Quartet #1),12.3,Default
The Girl with All the Gifts,49.47,Horror
The Girl Who Played with Fire (Millennium Trilogy #2),22.14,Default
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),57.48,Add a comment
The Exiled,43.45,Mystery
"The End of Faith: Religion, Terror, and the Future of Reason",22.13,Add a comment
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,Science
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,Science
The Devil Wears Prada (The Devil Wears Prada #1),44.29,Womens Fiction
The Demon-Haunted World: Science as a Candle in the Dark,52.25,Default
The Day the Crayons Came Home (Crayons),26.33,Childrens
The Da Vinci Code (Robert Langdon #2),22.96,Fiction
The Cuckoo's Calling (Cormoran Strike #1),19.21,Mystery
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,Classics
The Complete Poems,41.32,Add a comment
The Catcher in the Rye,24.55,Add a comment
The Cat in the Hat (Beginner Books B-1),16.26,Childrens
The Case for Christ (Cases for Christianity),47.84,Add a comment
The Book Thief,53.49,Default
The Book of Basketball: The NBA According to The Sports Guy,44.84,Sports and Games
The Blind Side: Evolution of a Game,53.71,Add a comment
The Autobiography of Malcolm X,23.43,Default
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",34.32,Food and Drink
The Art of Fielding,22.1,Fiction
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,Science
Stiff: The Curious Lives of Human Cadavers,36.74,Nonfiction
Spilled Milk: Based on a True Story,49.51,Nonfiction
Something Borrowed (Darcy & Rachel #1),48.96,Womens Fiction
Something Blue (Darcy & Rachel #2),54.62,Womens Fiction
Soldier (Talon #3),24.72,Fantasy
Shopaholic & Baby (Shopaholic #5),46.45,Default
Seven Days in the Art World,52.33,Add a comment
Seven Brief Lessons on Physics,30.6,Science
Scarlet (The Lunar Chronicles #2),14.57,Young Adult
Sarah's Key,46.29,Add a comment
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,Sequential Art
Running with Scissors,12.91,Autobiography
Rogue Lawyer (Rogue Lawyer #1),50.11,Add a comment
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,Nonfiction
Rework,44.88,Business
Reservations for Two,11.1,Romance
Red: The True Story of Red Riding Hood,28.54,Childrens
Ready Player One,19.07,Science Fiction
Quiet: The Power of Introverts in a World That Can't Stop Talking,43.55,Default
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,Sequential Art
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,Sequential Art
Packing for Mars: The Curious Science of Life in the Void,56.68,Default
Outliers: The Story of Success,14.16,Nonfiction
Original Fake,31.45,Sequential Art
Orange Is the New Black,24.61,Default
One for the Money (Stephanie Plum #1),32.87,Default
Notes from a Small Island (Notes From a Small Island #1),40.17,Nonfiction
Night (The Night Trilogy #1),13.51,Nonfiction
Neither Here nor There: Travels in Europe,38.95,Travel
Naked,31.69,Humor
Morning Star (Red Rising #3),29.4,Default
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,Nonfiction
Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,Fantasy
Me Talk Pretty One Day,57.6,Autobiography
Manuscript Found in Accra,34.98,Add a comment
Lust & Wonder,11.87,Autobiography
Lila (Gilead #3),12.47,Fiction
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,Science Fiction
Life Without a Recipe,59.04,Autobiography
Life After Life,26.13,Default
Letter to a Christian Nation,22.2,Nonfiction
Let's Pretend This Never Happened: A Mostly True Memoir,45.11,Nonfiction
Legend (Legend #1),43.69,Young Adult
"Lean In: Women, Work, and the Will to Lead",25.02,Default
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.5,Humor
Lady Renegades (Rebel Belle #3),53.04,Young Adult
Jurassic Park (Jurassic Park #1),44.97,Fiction
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,Nonfiction
Is Everyone Hanging Out Without Me? (And Other Concerns),20.11,Default
Into the Wild,56.7,Nonfiction
Inferno (Robert Langdon #4),41,Fiction
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,Nonfiction
If I Run (If I Run #1),49.97,Christian Fiction
I've Got Your Number,19.69,Womens Fiction
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,Nonfiction
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,33.14,Food and Drink
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,History
House of Leaves,54.89,Horror
Horrible Bear!,37.52,Childrens
Holidays on Ice,51.07,Humor
Heir to the Sky,44.07,Fantasy
Green Eggs and Ham (Beginner Books B-16),10.79,Childrens
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,Sequential Art
Gratitude,26.66,Nonfiction
Gone Girl,37.6,Default
Golden (Heart of Dread #3),42.21,Young Adult
Girl in the Blue Coat,46.83,Historical Fiction
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,Sequential Art
"Friday Night Lights: A Town, a Team, and a Dream",51.22,Sports and Games
Fire Bound (Sea Haven/Sisters of the Heart #5),21.28,Add a comment
Fifty Shades Freed (Fifty Shades #3),15.36,Adult Fiction
Fellside,38.62,Default
Extreme Prey (Lucas Davenport #26),25.4,Mystery
Eragon (The Inheritance Cycle #1),43.87,Fantasy
Eclipse (Twilight #3),18.74,Default
Dune (Dune #1),54.86,Science Fiction
Dracula,52.62,Default
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,Science Fiction
Disrupted: My Misadventure in the Start-Up Bubble,15.28,Nonfiction
Dead Wake: The Last Crossing of the Lusitania,39.24,Default
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",17.81,Default
Darkfever (Fever #1),56.02,Fantasy
Dark Places,23.9,Default
Crazy Rich Asians (Crazy Rich Asians #1),49.13,Fiction
Counting Thyme,10.62,Childrens
Cosmos,36.17,Add a comment
Civilization and Its Discontents,59.95,Psychology
Cinder (The Lunar Chronicles #1),26.09,Young Adult
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,37.35,Parenting
Career of Evil (Cormoran Strike #3),24.72,Mystery
Breaking Dawn (Twilight #4),35.28,Default
Brave Enough,51.32,Nonfiction
Boy Meets Boy,21.12,Young Adult
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35,Nonfiction
Blink: The Power of Thinking Without Thinking,21.74,Nonfiction
Black Flags: The Rise of ISIS,40.87,Nonfiction
"Black Butler, Vol. 1 (Black Butler #1)",49.31,Sequential Art
Big Little Lies,22.11,Fiction
Between Shades of Gray,20.79,Historical Fiction
Best of My Love (Fool's Gold #20),27.41,Romance
Beowulf,38.35,Classics
Beautiful Creatures (Caster Chronicles #1),21.55,Default
Awkward,38.02,Sequential Art
Ash,22.06,Fantasy
Are We There Yet?,10.66,Childrens
Are We Smart Enough to Know How Smart Animals Are?,56.58,Nonfiction
Annie on My Mind,36.83,Young Adult
And Then There Were None,35.01,Classics
A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,Nonfiction
A Visit from the Goon Squad,14.08,Default
A Storm of Swords (A Song of Ice and Fire #3),31.22,Fantasy
A Heartbreaking Work of Staggering Genius,54.29,Autobiography
8 Keys to Mental Health Through Exercise,31.04,Psychology
#GIRLBOSS,50.96,Add a comment
"The Suffragettes (Little Black Classics, #96)",11.89,Nonfiction
The Sense of an Ending,31.38,Add a comment
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,Sequential Art
The Course of Love,16.78,Fiction
Sugar Rush (Offensive Line #2),24.42,Sports and Games
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,Sequential Art
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,Philosophy
New Moon (Twilight #2),12.86,Young Adult
Life,31.58,Music
Kindle Paperwhite User's Guide,34,Nonfiction
H is for Hawk,57.42,Nonfiction
Girl Online On Tour (Girl Online #2),53.47,Young Adult
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,Sequential Art
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,Childrens
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,Sequential Art
While You Were Mine,41.32,Historical Fiction
Where Lightning Strikes (Bleeding Stars #3),39.77,Romance
When I'm Gone,51.96,Fiction
Ways of Seeing,39.51,Art
"Vampire Knight, Vol. 1 (Vampire Knight #1)",15.4,Paranormal
Vampire Girl (Vampire Girl #1),53.82,Fantasy
Twenty Love Poems and a Song of Despair,30.95,Poetry
Travels with Charley: In Search of America,57.82,Nonfiction
Three Wishes (River of Time: California #1),44.18,Science Fiction
This One Moment (Pushing Limits #1),48.71,Romance
The Zombie Room,19.69,Default
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,Sequential Art
The Tumor,41.56,Nonfiction
The Story of Hong Gildong,43.19,Classics
The Silent Wife,12.34,Fiction
The Silent Twin (Detective Jennifer Knight #3),36.25,Fantasy
The Selfish Gene,29.45,Science
The Secret Healer,34.56,Historical Fiction
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,Sequential Art
The Republic,33.78,Add a comment
The Odyssey,29.64,Add a comment
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Mystery
The Nicomachean Ethics,36.34,Philosophy
The Name of the Wind (The Kingkiller Chronicle #1),50.59,Default
The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38,Fantasy
The Little Prince,45.42,Classics
The Light of the Fireflies,54.43,Add a comment
The Last Girl (The Dominion Trilogy #1),36.26,Science Fiction
The Iliad,16.16,Add a comment
The Hook Up (Game On #1),36.29,New Adult
The Haters,27.89,Young Adult
The Girl You Lost,12.29,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,Mystery
The End of the Jesus Era (An Investigation #1),14.4,Nonfiction
The Edge of Reason (Bridget Jones #2),19.18,Womens Fiction
The Complete Maus (Maus #1-2),10.64,Sequential Art
The Communist Manifesto,14.76,Add a comment
The Bhagavad Gita,57.49,Religion
The Bette Davis Club,30.66,Fiction
The Art of Not Breathing,40.83,Young Adult
Taking Shots (Assassins #1),18.88,Default
Starlark,25.83,Historical Fiction
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,Sequential Art
Sister Sable (The Mad Queen #1),13.33,Fantasy
Shatter Me (Shatter Me #1),42.4,Default
Shameless,58.35,New Adult
Shadow Rites (Jane Yellowrock #10),21.72,Fantasy
Settling the Score (The Summer Games #1),44.91,Sports and Games
Sense and Sensibility,37.46,Classics
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,Sequential Art
"Rhythm, Chord & Malykhin",28.34,Romance
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,Sequential Art
Paradise Lost (Paradise #1),24.96,Default
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,Sequential Art
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,Sequential Art
Origins (Alphas 0.5),28.99,Fantasy
One Second (Seven #7),52.94,Fantasy
On the Road (Duluoz Legend),32.36,Default
Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,Music
Off Sides (Off #1),39.45,New Adult
Of Mice and Men,47.11,Classics
Myriad (Prentor #1),58.75,Fantasy
My Perfect Mistake (Over the Top #1),38.92,Romance
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,Sequential Art
Meditations,25.89,Philosophy
Matilda,28.34,Childrens
Lost Among the Living,27.7,Historical Fiction
Lord of the Flies,24.89,Add a comment
Listen to Me (Fusion #1),58.99,Romance
Kitchens of the Great Midwest,57.2,Fiction
Jane Eyre,38.43,Default
Imperfect Harmony,34.74,Romance
Icing (Aces Hockey #2),40.44,Sports and Games
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,Sequential Art
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,Science Fiction
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,Sequential Art
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,Sequential Art
Frankenstein,38,Default
Forever Rockers (The Rocker #12),28.8,Music
